64.69 0:1 1:3 2:1 3:0 4:20 5:62.0000 6:2.1000 7:20.5000 8:87.0000 9:0.0000
75.37 0:1 1:3 2:1 3:40 4:60 5:62.0000 6:2.1000 7:20.5000 8:87.0000 9:0.0000
70.14 0:1 1:3 2:1 3:100 4:120 5:62.0000 6:2.1000 7:20.5000 8:87.0000 9:0.0000
96.03 0:1 1:3 2:1 3:120 4:140 5:62.0000 6:2.1000 7:20.5000 8:87.0000 9:0.0000
76.88 0:1 1:3 2:1 3:220 4:240 5:37.0000 6:2.5000 7:23.3000 8:73.0000 9:0.0000
54.75 0:1 1:3 2:1 3:360 4:380 5:128.0000 6:1.6000 7:23.4000 8:73.0000 9:0.0000
121.02 0:1 1:3 2:1 3:380 4:400 5:128.0000 6:1.6000 7:23.4000 8:73.0000 9:0.0000
94.04 0:1 1:3 2:1 3:400 4:420 5:128.0000 6:1.6000 7:23.4000 8:73.0000 9:0.0000
120.6 0:1 1:3 2:1 3:420 4:440 5:128.0000 6:1.6000 7:23.4000 8:73.0000 9:0.0000
73.4 0:1 1:3 2:1 3:440 4:460 5:128.0000 6:1.6000 7:23.4000 8:73.0000 9:0.0000
89.91 0:1 1:3 2:1 3:460 4:480 5:128.0000 6:1.6000 7:23.4000 8:73.0000 9:0.0000
126.4 0:1 1:3 2:1 3:480 4:500 5:128.0000 6:1.6000 7:23.4000 8:73.0000 9:0.0000
115.52 0:1 1:3 2:1 3:500 4:520 5:128.0000 6:1.6000 7:23.4000 8:73.0000 9:0.0000
98.86 0:1 1:3 2:1 3:520 4:540 5:128.0000 6:1.6000 7:23.4000 8:73.0000 9:0.0000
131.15 0:1 1:3 2:1 3:540 4:560 5:205.0000 6:0.6000 7:20.9000 8:94.0000 9:1.8000
151.95 0:1 1:3 2:1 3:560 4:580 5:205.0000 6:0.6000 7:20.9000 8:94.0000 9:1.8000
117.69 0:1 1:3 2:1 3:580 4:600 5:205.0000 6:0.6000 7:20.9000 8:94.0000 9:1.8000
85.85 0:1 1:3 2:1 3:600 4:620 5:205.0000 6:0.6000 7:20.9000 8:94.0000 9:1.8000
111.97 0:1 1:3 2:1 3:620 4:640 5:205.0000 6:0.6000 7:20.9000 8:94.0000 9:1.8000
120.19 0:1 1:3 2:1 3:640 4:660 5:205.0000 6:0.6000 7:20.9000 8:94.0000 9:1.8000
124.38 0:1 1:3 2:1 3:660 4:680 5:205.0000 6:0.6000 7:20.9000 8:94.0000 9:1.8000
91.1 0:1 1:3 2:1 3:680 4:700 5:205.0000 6:0.6000 7:20.9000 8:94.0000 9:1.8000
100.28 0:1 1:3 2:1 3:700 4:720 5:205.0000 6:0.6000 7:20.9000 8:94.0000 9:1.8000
79.9 0:1 1:3 2:1 3:720 4:740 5:106.0000 6:1.5000 7:20.5000 8:94.0000 9:0.5000
90.97 0:1 1:3 2:1 3:740 4:760 5:106.0000 6:1.5000 7:20.5000 8:94.0000 9:0.5000
103.24 0:1 1:3 2:1 3:760 4:780 5:106.0000 6:1.5000 7:20.5000 8:94.0000 9:0.5000
117.65 0:1 1:3 2:1 3:780 4:800 5:106.0000 6:1.5000 7:20.5000 8:94.0000 9:0.5000
90.83 0:1 1:3 2:1 3:800 4:820 5:106.0000 6:1.5000 7:20.5000 8:94.0000 9:0.5000
99.16 0:1 1:3 2:1 3:820 4:840 5:106.0000 6:1.5000 7:20.5000 8:94.0000 9:0.5000
