intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",72.0505981445
A,2,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",73.5774765015
A,2,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",73.5774765015
A,2,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",73.001739502
A,2,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",73.001739502
A,2,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",60.9056777954
A,2,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",70.2666397095
A,2,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",70.4645767212
A,2,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",70.4645767212
A,2,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",69.7593307495
A,2,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",69.7593307495
A,2,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",60.8318519592
A,2,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",76.9692459106
A,2,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",79.7312164307
A,2,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",79.7312164307
A,2,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",78.2159118652
A,2,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",78.2159118652
A,2,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",64.0316619873
A,2,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",75.4883346558
A,2,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",78.2503051758
A,2,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",78.2503051758
A,2,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",75.1640167236
A,2,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",75.1640167236
A,2,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",62.7730369568
A,2,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",58.6657218933
A,2,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",58.0125312805
A,2,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",59.3555488586
A,2,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",59.2469367981
A,2,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",59.2469367981
A,2,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",58.799495697
A,2,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",60.0081863403
A,2,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",59.7197952271
A,2,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",61.0628128052
A,2,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",60.8874435425
A,2,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",60.8874435425
A,2,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",60.202911377
A,2,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",72.4913101196
A,2,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",74.0181884766
A,2,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",74.0181884766
A,2,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",78.2784957886
A,2,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",78.2784957886
A,2,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",64.8438720703
A,3,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",172.7071838379
A,3,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",174.2340698242
A,3,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",174.2340698242
A,3,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",173.5830688477
A,3,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",172.4252319336
A,3,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",125.7936248779
A,3,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",181.4533233643
A,3,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",181.651260376
A,3,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",181.651260376
A,3,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",186.1896972656
A,3,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",185.5899353027
A,3,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",134.8455963135
A,3,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",208.0322265625
A,3,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",210.7942199707
A,3,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",210.7942199707
A,3,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",195.764831543
A,3,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",195.8048248291
A,3,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",140.1325073242
A,3,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",180.4558563232
A,3,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",183.2178497314
A,3,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",183.2178497314
A,3,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",176.229385376
A,3,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",176.2693786621
A,3,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",133.1393585205
A,3,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",101.4427490234
A,3,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",100.7895584106
A,3,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",102.1325836182
A,3,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",101.9930496216
A,3,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",102.0330581665
A,3,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",98.0672531128
A,3,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",106.4861679077
A,3,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",106.1977767944
A,3,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",108.3338241577
A,3,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",116.62840271
A,3,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",116.6684112549
A,3,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",101.7345352173
A,3,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",173.8860931396
A,3,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",175.412979126
A,3,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",175.412979126
A,3,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",205.4785919189
A,3,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",204.3207550049
A,3,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",147.0623626709
B,1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",110.3407592773
B,1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",110.0288696289
B,1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",108.8350372314
B,1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",103.8898620605
B,1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",103.8898620605
B,1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",104.007232666
B,1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",104.6116485596
B,1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",104.2997512817
B,1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",104.2997512817
B,1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",118.6816101074
B,1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",118.6816101074
B,1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",118.51612854
B,1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",108.7164154053
B,1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",109.3741531372
B,1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",109.3741531372
B,1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",106.4919967651
B,1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",106.4919967651
B,1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",103.7814102173
B,1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",123.1212539673
B,1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",122.8093566895
B,1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",121.6155319214
B,1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",121.2556762695
B,1,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",121.2556762695
B,1,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",122.0670852661
B,1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",107.3117828369
B,1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",106.9998931885
B,1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",105.806060791
B,1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",106.0119934082
B,1,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",106.0119934082
B,1,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",106.446182251
B,1,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",111.3791732788
B,1,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",111.7456130981
B,1,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",111.7456130981
B,1,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",107.234336853
B,1,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",107.234336853
B,1,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",105.6276245117
B,1,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",111.0008850098
B,1,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",112.0473480225
B,1,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",110.8535308838
B,1,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",109.0058898926
B,1,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",109.0058898926
B,1,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",106.9691772461
B,3,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",126.5853500366
B,3,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",127.6024627686
B,3,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",126.4086380005
B,3,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",95.5935211182
B,3,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",95.5935211182
B,3,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",89.1754455566
B,3,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",98.1212310791
B,3,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",98.6430511475
B,3,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",98.6430511475
B,3,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",125.7058410645
B,3,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",125.7058410645
B,3,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",118.3108062744
B,3,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",96.1398620605
B,3,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",98.2448806763
B,3,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",98.2448806763
B,3,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",98.6160964966
B,3,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",98.7108078003
B,3,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",89.7681884766
B,3,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",138.8327941895
B,3,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",123.4230880737
B,3,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",122.2292633057
B,3,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",122.9594345093
B,3,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",122.9594345093
B,3,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",118.6645889282
B,3,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",89.7534103394
B,3,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",89.6830749512
B,3,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",88.4892501831
B,3,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",85.9822692871
B,3,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",85.9822692871
B,3,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",87.5084075928
B,3,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",93.7026748657
