intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",73.3607406616
A,2,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",73.3607406616
A,2,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",73.3607406616
A,2,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",73.3607406616
A,2,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",73.3607406616
A,2,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",61.1195983887
A,2,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",72.3930282593
A,2,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",72.3930282593
A,2,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",72.3930282593
A,2,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",72.8527069092
A,2,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",72.8527069092
A,2,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",60.2131004333
A,2,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",77.4539871216
A,2,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",77.4539871216
A,2,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",77.4539871216
A,2,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",76.6583023071
A,2,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",76.6583023071
A,2,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",62.5727729797
A,2,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",75.6950149536
A,2,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",75.6950149536
A,2,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",75.6950149536
A,2,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",73.5602645874
A,2,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",73.5602645874
A,2,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",62.0697059631
A,2,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",57.3020210266
