681.3 0:0 1:2 2:1 3:480 4:500 5:37.0000 6:4.3000 7:19.5000 8:78.0000 9:0.0000
128.11 0:0 1:2 2:1 3:500 4:520 5:37.0000 6:4.3000 7:19.5000 8:78.0000 9:0.0000
176.23 0:0 1:2 2:1 3:520 4:540 5:37.0000 6:4.3000 7:19.5000 8:78.0000 9:0.0000
749.09 0:0 1:2 2:1 3:540 4:560 5:7.0000 6:3.8000 7:18.0000 8:81.0000 9:0.0000
37.22 0:0 1:2 2:1 3:560 4:580 5:7.0000 6:3.8000 7:18.0000 8:81.0000 9:0.0000
184.95 0:0 1:2 2:1 3:580 4:600 5:7.0000 6:3.8000 7:18.0000 8:81.0000 9:0.0000
614.73 0:0 1:2 2:2 3:480 4:500 5:216.0000 6:2.1000 7:28.1000 8:67.0000 9:0.0000
118.63 0:0 1:2 2:2 3:500 4:520 5:216.0000 6:2.1000 7:28.1000 8:67.0000 9:0.0000
63.27 0:0 1:2 2:2 3:520 4:540 5:216.0000 6:2.1000 7:28.1000 8:67.0000 9:0.0000
516.6 0:0 1:2 2:2 3:540 4:560 5:356.0000 6:5.6000 7:21.6000 8:81.0000 9:0.0000
42.83 0:0 1:2 2:2 3:560 4:580 5:356.0000 6:5.6000 7:21.6000 8:81.0000 9:0.0000
459.44 0:0 1:2 2:2 3:580 4:600 5:356.0000 6:5.6000 7:21.6000 8:81.0000 9:0.0000
56.98 0:0 1:2 2:3 3:480 4:500 5:339.0000 6:1.8000 7:19.7000 8:93.0000 9:0.0000
566.16 0:0 1:2 2:3 3:500 4:520 5:339.0000 6:1.8000 7:19.7000 8:93.0000 9:0.0000
125.39 0:0 1:2 2:3 3:520 4:540 5:339.0000 6:1.8000 7:19.7000 8:93.0000 9:0.0000
777.55 0:0 1:2 2:3 3:540 4:560 5:107.0000 6:0.5000 7:20.7000 8:90.0000 9:0.0000
205.22 0:0 1:2 2:3 3:560 4:580 5:107.0000 6:0.5000 7:20.7000 8:90.0000 9:0.0000
164.18 0:0 1:2 2:3 3:580 4:600 5:107.0000 6:0.5000 7:20.7000 8:90.0000 9:0.0000
466.2 0:0 1:2 2:4 3:480 4:500 5:4.0000 6:6.0000 7:16.2000 8:91.0000 9:0.1000
765.33 0:0 1:2 2:4 3:500 4:520 5:4.0000 6:6.0000 7:16.2000 8:91.0000 9:0.1000
700.79 0:0 1:2 2:4 3:520 4:540 5:4.0000 6:6.0000 7:16.2000 8:91.0000 9:0.1000
416.49 0:0 1:2 2:4 3:540 4:560 5:1.0000 6:5.9000 7:15.1000 8:86.0000 9:0.0000
248.9 0:0 1:2 2:4 3:560 4:580 5:1.0000 6:5.9000 7:15.1000 8:86.0000 9:0.0000
673.67 0:0 1:2 2:4 3:580 4:600 5:1.0000 6:5.9000 7:15.1000 8:86.0000 9:0.0000
574.81 0:0 1:2 2:5 3:480 4:500 5:36.0000 6:3.2000 7:14.6000 8:71.0000 9:0.0000
621.6 0:0 1:2 2:5 3:500 4:520 5:36.0000 6:3.2000 7:14.6000 8:71.0000 9:0.0000
638.73 0:0 1:2 2:5 3:520 4:540 5:36.0000 6:3.2000 7:14.6000 8:71.0000 9:0.0000
640.95 0:0 1:2 2:5 3:540 4:560 5:8.0000 6:3.4000 7:13.6000 8:76.0000 9:0.0000
306.12 0:0 1:2 2:5 3:560 4:580 5:8.0000 6:3.4000 7:13.6000 8:76.0000 9:0.0000
377.38 0:0 1:2 2:5 3:580 4:600 5:8.0000 6:3.4000 7:13.6000 8:76.0000 9:0.0000
730.58 0:0 1:2 2:6 3:480 4:500 5:77.0000 6:1.4000 7:17.5000 8:66.0000 9:0.0000
498.97 0:0 1:2 2:6 3:500 4:520 5:77.0000 6:1.4000 7:17.5000 8:66.0000 9:0.0000
426.61 0:0 1:2 2:6 3:520 4:540 5:77.0000 6:1.4000 7:17.5000 8:66.0000 9:0.0000
717.12 0:0 1:2 2:6 3:540 4:560 5:96.0000 6:2.1000 7:17.0000 8:66.0000 9:0.0000
474.32 0:0 1:2 2:6 3:560 4:580 5:96.0000 6:2.1000 7:17.0000 8:66.0000 9:0.0000
324.1 0:0 1:2 2:6 3:580 4:600 5:96.0000 6:2.1000 7:17.0000 8:66.0000 9:0.0000
767 0:0 1:2 2:0 3:480 4:500 5:5.0000 6:2.8000 7:15.7000 8:88.0000 9:0.2000
164.69 0:0 1:2 2:0 3:500 4:520 5:5.0000 6:2.8000 7:15.7000 8:88.0000 9:0.2000
408.97 0:0 1:2 2:0 3:520 4:540 5:5.0000 6:2.8000 7:15.7000 8:88.0000 9:0.2000
546.08 0:0 1:2 2:0 3:540 4:560 5:349.0000 6:2.3000 7:14.8000 8:89.0000 9:0.1000
314.55 0:0 1:2 2:0 3:560 4:580 5:349.0000 6:2.3000 7:14.8000 8:89.0000 9:0.1000
738.45 0:0 1:2 2:0 3:580 4:600 5:349.0000 6:2.3000 7:14.8000 8:89.0000 9:0.1000
390.3 0:0 1:3 2:1 3:480 4:500 5:37.0000 6:4.3000 7:19.5000 8:78.0000 9:0.0000
581.84 0:0 1:3 2:1 3:500 4:520 5:37.0000 6:4.3000 7:19.5000 8:78.0000 9:0.0000
35.58 0:0 1:3 2:1 3:520 4:540 5:37.0000 6:4.3000 7:19.5000 8:78.0000 9:0.0000
636.4 0:0 1:3 2:1 3:540 4:560 5:7.0000 6:3.8000 7:18.0000 8:81.0000 9:0.0000
277.84 0:0 1:3 2:1 3:560 4:580 5:7.0000 6:3.8000 7:18.0000 8:81.0000 9:0.0000
338.26 0:0 1:3 2:1 3:580 4:600 5:7.0000 6:3.8000 7:18.0000 8:81.0000 9:0.0000
480.7 0:0 1:3 2:2 3:480 4:500 5:216.0000 6:2.1000 7:28.1000 8:67.0000 9:0.0000
109.43 0:0 1:3 2:2 3:500 4:520 5:216.0000 6:2.1000 7:28.1000 8:67.0000 9:0.0000
518.37 0:0 1:3 2:2 3:520 4:540 5:216.0000 6:2.1000 7:28.1000 8:67.0000 9:0.0000
96.84 0:0 1:3 2:2 3:540 4:560 5:356.0000 6:5.6000 7:21.6000 8:81.0000 9:0.0000
484.39 0:0 1:3 2:2 3:560 4:580 5:356.0000 6:5.6000 7:21.6000 8:81.0000 9:0.0000
