intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",70.1396179199
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",71.0023422241
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",71.0023422241
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",71.8255081177
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",71.8255081177
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",70.6950836182
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",70.3510665894
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",71.2137985229
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",71.2137985229
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",72.2585906982
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",72.2585906982
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",71.1281661987
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",69.5734329224
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",71.0023422241
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",71.0023422241
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",71.0023422241
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",71.0023422241
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",69.871925354
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",70.158241272
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",71.5871582031
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",71.5871582031
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",71.7582321167
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",71.7582321167
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",70.6278076172
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",71.0550842285
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",72.4840087891
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",72.4840087891
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",77.4724884033
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",77.4724884033
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",76.3420639038
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",68.2606658936
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",69.6895828247
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",69.7722167969
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",70.9468917847
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",70.9468917847
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",70.0819244385
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",70.1396179199
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",71.0023422241
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",71.0023422241
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",71.0023422241
