681.3 0:0 1:2 2:1 3:480 4:500 5:1012.5000 6:1017.5000 7:128.0000 8:1.6000 9:23.4000 10:73.0000 11:0.0000
128.11 0:0 1:2 2:1 3:500 4:520 5:1012.5000 6:1017.5000 7:128.0000 8:1.6000 9:23.4000 10:73.0000 11:0.0000
176.23 0:0 1:2 2:1 3:520 4:540 5:1012.5000 6:1017.5000 7:128.0000 8:1.6000 9:23.4000 10:73.0000 11:0.0000
749.09 0:0 1:2 2:1 3:540 4:560 5:1013.0000 6:1018.0000 7:205.0000 8:0.6000 9:20.9000 10:94.0000 11:1.8000
37.22 0:0 1:2 2:1 3:560 4:580 5:1013.0000 6:1018.0000 7:205.0000 8:0.6000 9:20.9000 10:94.0000 11:1.8000
184.95 0:0 1:2 2:1 3:580 4:600 5:1013.0000 6:1018.0000 7:205.0000 8:0.6000 9:20.9000 10:94.0000 11:1.8000
614.73 0:0 1:2 2:2 3:480 4:500 5:1010.8000 6:1015.8000 7:89.0000 8:2.1000 9:20.7000 10:94.0000 11:1.0000
118.63 0:0 1:2 2:2 3:500 4:520 5:1010.8000 6:1015.8000 7:89.0000 8:2.1000 9:20.7000 10:94.0000 11:1.0000
63.27 0:0 1:2 2:2 3:520 4:540 5:1010.8000 6:1015.8000 7:89.0000 8:2.1000 9:20.7000 10:94.0000 11:1.0000
516.6 0:0 1:2 2:2 3:540 4:560 5:1010.9000 6:1015.9000 7:96.0000 8:1.8000 9:20.5000 10:95.0000 11:0.2000
42.83 0:0 1:2 2:2 3:560 4:580 5:1010.9000 6:1015.9000 7:96.0000 8:1.8000 9:20.5000 10:95.0000 11:0.2000
459.44 0:0 1:2 2:2 3:580 4:600 5:1010.9000 6:1015.9000 7:96.0000 8:1.8000 9:20.5000 10:95.0000 11:0.2000
56.98 0:0 1:2 2:3 3:480 4:500 5:1007.8000 6:1012.8000 7:94.0000 8:2.7000 9:22.3000 10:91.0000 11:0.0000
566.16 0:0 1:2 2:3 3:500 4:520 5:1007.8000 6:1012.8000 7:94.0000 8:2.7000 9:22.3000 10:91.0000 11:0.0000
125.39 0:0 1:2 2:3 3:520 4:540 5:1007.8000 6:1012.8000 7:94.0000 8:2.7000 9:22.3000 10:91.0000 11:0.0000
777.55 0:0 1:2 2:3 3:540 4:560 5:1008.1000 6:1013.1000 7:96.0000 8:2.0000 9:22.4000 10:91.0000 11:0.0000
205.22 0:0 1:2 2:3 3:560 4:580 5:1008.1000 6:1013.1000 7:96.0000 8:2.0000 9:22.4000 10:91.0000 11:0.0000
164.18 0:0 1:2 2:3 3:580 4:600 5:1008.1000 6:1013.1000 7:96.0000 8:2.0000 9:22.4000 10:91.0000 11:0.0000
466.2 0:0 1:2 2:4 3:480 4:500 5:1004.1000 6:1009.1000 7:335.0000 8:3.1000 9:21.4000 10:98.0000 11:0.5000
765.33 0:0 1:2 2:4 3:500 4:520 5:1004.1000 6:1009.1000 7:335.0000 8:3.1000 9:21.4000 10:98.0000 11:0.5000
700.79 0:0 1:2 2:4 3:520 4:540 5:1004.1000 6:1009.1000 7:335.0000 8:3.1000 9:21.4000 10:98.0000 11:0.5000
416.49 0:0 1:2 2:4 3:540 4:560 5:1004.3000 6:1009.3000 7:340.0000 8:2.8000 9:21.2000 10:98.0000 11:0.0000
248.9 0:0 1:2 2:4 3:560 4:580 5:1004.3000 6:1009.3000 7:340.0000 8:2.8000 9:21.2000 10:98.0000 11:0.0000
673.67 0:0 1:2 2:4 3:580 4:600 5:1004.3000 6:1009.3000 7:340.0000 8:2.8000 9:21.2000 10:98.0000 11:0.0000
574.81 0:0 1:2 2:5 3:480 4:500 5:1000.2000 6:1005.1000 7:86.0000 8:2.9000 9:22.6000 10:96.0000 11:0.1000
621.6 0:0 1:2 2:5 3:500 4:520 5:1000.2000 6:1005.1000 7:86.0000 8:2.9000 9:22.6000 10:96.0000 11:0.1000
638.73 0:0 1:2 2:5 3:520 4:540 5:1000.2000 6:1005.1000 7:86.0000 8:2.9000 9:22.6000 10:96.0000 11:0.1000
640.95 0:0 1:2 2:5 3:540 4:560 5:999.4000 6:1004.3000 7:117.0000 8:2.0000 9:22.8000 10:97.0000 11:3.1000
306.12 0:0 1:2 2:5 3:560 4:580 5:999.4000 6:1004.3000 7:117.0000 8:2.0000 9:22.8000 10:97.0000 11:3.1000
377.38 0:0 1:2 2:5 3:580 4:600 5:999.4000 6:1004.3000 7:117.0000 8:2.0000 9:22.8000 10:97.0000 11:3.1000
730.58 0:0 1:2 2:6 3:480 4:500 5:1009.1000 6:1014.1000 7:13.0000 8:3.2000 9:20.6000 10:84.0000 11:0.0000
498.97 0:0 1:2 2:6 3:500 4:520 5:1009.1000 6:1014.1000 7:13.0000 8:3.2000 9:20.6000 10:84.0000 11:0.0000
426.61 0:0 1:2 2:6 3:520 4:540 5:1009.1000 6:1014.1000 7:13.0000 8:3.2000 9:20.6000 10:84.0000 11:0.0000
717.12 0:0 1:2 2:6 3:540 4:560 5:1009.9000 6:1014.9000 7:344.0000 8:1.9000 9:20.4000 10:87.0000 11:0.0000
474.32 0:0 1:2 2:6 3:560 4:580 5:1009.9000 6:1014.9000 7:344.0000 8:1.9000 9:20.4000 10:87.0000 11:0.0000
324.1 0:0 1:2 2:6 3:580 4:600 5:1009.9000 6:1014.9000 7:344.0000 8:1.9000 9:20.4000 10:87.0000 11:0.0000
767 0:0 1:2 2:0 3:480 4:500 5:1007.7000 6:1012.7000 7:175.0000 8:1.4000 9:24.5000 10:68.0000 11:0.0000
164.69 0:0 1:2 2:0 3:500 4:520 5:1007.7000 6:1012.7000 7:175.0000 8:1.4000 9:24.5000 10:68.0000 11:0.0000
408.97 0:0 1:2 2:0 3:520 4:540 5:1007.7000 6:1012.7000 7:175.0000 8:1.4000 9:24.5000 10:68.0000 11:0.0000
546.08 0:0 1:2 2:0 3:540 4:560 5:1007.3000 6:1012.3000 7:133.0000 8:0.9000 9:23.5000 10:79.0000 11:0.0000
314.55 0:0 1:2 2:0 3:560 4:580 5:1007.3000 6:1012.3000 7:133.0000 8:0.9000 9:23.5000 10:79.0000 11:0.0000
738.45 0:0 1:2 2:0 3:580 4:600 5:1007.3000 6:1012.3000 7:133.0000 8:0.9000 9:23.5000 10:79.0000 11:0.0000
390.3 0:0 1:3 2:1 3:480 4:500 5:1012.5000 6:1017.5000 7:128.0000 8:1.6000 9:23.4000 10:73.0000 11:0.0000
581.84 0:0 1:3 2:1 3:500 4:520 5:1012.5000 6:1017.5000 7:128.0000 8:1.6000 9:23.4000 10:73.0000 11:0.0000
35.58 0:0 1:3 2:1 3:520 4:540 5:1012.5000 6:1017.5000 7:128.0000 8:1.6000 9:23.4000 10:73.0000 11:0.0000
636.4 0:0 1:3 2:1 3:540 4:560 5:1013.0000 6:1018.0000 7:205.0000 8:0.6000 9:20.9000 10:94.0000 11:1.8000
277.84 0:0 1:3 2:1 3:560 4:580 5:1013.0000 6:1018.0000 7:205.0000 8:0.6000 9:20.9000 10:94.0000 11:1.8000
338.26 0:0 1:3 2:1 3:580 4:600 5:1013.0000 6:1018.0000 7:205.0000 8:0.6000 9:20.9000 10:94.0000 11:1.8000
480.7 0:0 1:3 2:2 3:480 4:500 5:1010.8000 6:1015.8000 7:89.0000 8:2.1000 9:20.7000 10:94.0000 11:1.0000
109.43 0:0 1:3 2:2 3:500 4:520 5:1010.8000 6:1015.8000 7:89.0000 8:2.1000 9:20.7000 10:94.0000 11:1.0000
518.37 0:0 1:3 2:2 3:520 4:540 5:1010.8000 6:1015.8000 7:89.0000 8:2.1000 9:20.7000 10:94.0000 11:1.0000
96.84 0:0 1:3 2:2 3:540 4:560 5:1010.9000 6:1015.9000 7:96.0000 8:1.8000 9:20.5000 10:95.0000 11:0.2000
484.39 0:0 1:3 2:2 3:560 4:580 5:1010.9000 6:1015.9000 7:96.0000 8:1.8000 9:20.5000 10:95.0000 11:0.2000
156.15 0:0 1:3 2:2 3:580 4:600 5:1010.9000 6:1015.9000 7:96.0000 8:1.8000 9:20.5000 10:95.0000 11:0.2000
323.64 0:0 1:3 2:3 3:480 4:500 5:1007.8000 6:1012.8000 7:94.0000 8:2.7000 9:22.3000 10:91.0000 11:0.0000
283.28 0:0 1:3 2:3 3:500 4:520 5:1007.8000 6:1012.8000 7:94.0000 8:2.7000 9:22.3000 10:91.0000 11:0.0000
57.28 0:0 1:3 2:3 3:520 4:540 5:1007.8000 6:1012.8000 7:94.0000 8:2.7000 9:22.3000 10:91.0000 11:0.0000
607.32 0:0 1:3 2:3 3:540 4:560 5:1008.1000 6:1013.1000 7:96.0000 8:2.0000 9:22.4000 10:91.0000 11:0.0000
458.32 0:0 1:3 2:3 3:560 4:580 5:1008.1000 6:1013.1000 7:96.0000 8:2.0000 9:22.4000 10:91.0000 11:0.0000
527.3 0:0 1:3 2:3 3:580 4:600 5:1008.1000 6:1013.1000 7:96.0000 8:2.0000 9:22.4000 10:91.0000 11:0.0000
501.64 0:0 1:3 2:4 3:480 4:500 5:1004.1000 6:1009.1000 7:335.0000 8:3.1000 9:21.4000 10:98.0000 11:0.5000
525.49 0:0 1:3 2:4 3:500 4:520 5:1004.1000 6:1009.1000 7:335.0000 8:3.1000 9:21.4000 10:98.0000 11:0.5000
137.07 0:0 1:3 2:4 3:520 4:540 5:1004.1000 6:1009.1000 7:335.0000 8:3.1000 9:21.4000 10:98.0000 11:0.5000
758.6 0:0 1:3 2:4 3:540 4:560 5:1004.3000 6:1009.3000 7:340.0000 8:2.8000 9:21.2000 10:98.0000 11:0.0000
441.29 0:0 1:3 2:4 3:560 4:580 5:1004.3000 6:1009.3000 7:340.0000 8:2.8000 9:21.2000 10:98.0000 11:0.0000
32.53 0:0 1:3 2:4 3:580 4:600 5:1004.3000 6:1009.3000 7:340.0000 8:2.8000 9:21.2000 10:98.0000 11:0.0000
443.47 0:0 1:3 2:5 3:480 4:500 5:1000.2000 6:1005.1000 7:86.0000 8:2.9000 9:22.6000 10:96.0000 11:0.1000
244.97 0:0 1:3 2:5 3:500 4:520 5:1000.2000 6:1005.1000 7:86.0000 8:2.9000 9:22.6000 10:96.0000 11:0.1000
131.41 0:0 1:3 2:5 3:520 4:540 5:1000.2000 6:1005.1000 7:86.0000 8:2.9000 9:22.6000 10:96.0000 11:0.1000
641.04 0:0 1:3 2:5 3:540 4:560 5:999.4000 6:1004.3000 7:117.0000 8:2.0000 9:22.8000 10:97.0000 11:3.1000
668.38 0:0 1:3 2:5 3:560 4:580 5:999.4000 6:1004.3000 7:117.0000 8:2.0000 9:22.8000 10:97.0000 11:3.1000
