intersection_id,tollgate_id,week,time_window,wind_direction,wind_speed,temperature,rel_humidity,precipitation,avg_travel_time
"A","2","1","2016-10-18 08:00:00,2016-10-18 08:20:00","1012.5000","1017.5000","128.0000","1.6000","23.4000","73.0000","0.0000","681.3"
"A","2","1","2016-10-18 08:20:00,2016-10-18 08:40:00","1012.5000","1017.5000","128.0000","1.6000","23.4000","73.0000","0.0000","128.11"
"A","2","1","2016-10-18 08:40:00,2016-10-18 09:00:00","1012.5000","1017.5000","128.0000","1.6000","23.4000","73.0000","0.0000","176.23"
"A","2","1","2016-10-18 09:00:00,2016-10-18 09:20:00","1013.0000","1018.0000","205.0000","0.6000","20.9000","94.0000","1.8000","749.09"
"A","2","1","2016-10-18 09:20:00,2016-10-18 09:40:00","1013.0000","1018.0000","205.0000","0.6000","20.9000","94.0000","1.8000","37.22"
"A","2","1","2016-10-18 09:40:00,2016-10-18 10:00:00","1013.0000","1018.0000","205.0000","0.6000","20.9000","94.0000","1.8000","184.95"
"A","2","2","2016-10-19 08:00:00,2016-10-19 08:20:00","1010.8000","1015.8000","89.0000","2.1000","20.7000","94.0000","1.0000","614.73"
"A","2","2","2016-10-19 08:20:00,2016-10-19 08:40:00","1010.8000","1015.8000","89.0000","2.1000","20.7000","94.0000","1.0000","118.63"
"A","2","2","2016-10-19 08:40:00,2016-10-19 09:00:00","1010.8000","1015.8000","89.0000","2.1000","20.7000","94.0000","1.0000","63.27"
"A","2","2","2016-10-19 09:00:00,2016-10-19 09:20:00","1010.9000","1015.9000","96.0000","1.8000","20.5000","95.0000","0.2000","516.6"
"A","2","2","2016-10-19 09:20:00,2016-10-19 09:40:00","1010.9000","1015.9000","96.0000","1.8000","20.5000","95.0000","0.2000","42.83"
"A","2","2","2016-10-19 09:40:00,2016-10-19 10:00:00","1010.9000","1015.9000","96.0000","1.8000","20.5000","95.0000","0.2000","459.44"
"A","2","3","2016-10-20 08:00:00,2016-10-20 08:20:00","1007.8000","1012.8000","94.0000","2.7000","22.3000","91.0000","0.0000","56.98"
"A","2","3","2016-10-20 08:20:00,2016-10-20 08:40:00","1007.8000","1012.8000","94.0000","2.7000","22.3000","91.0000","0.0000","566.16"
"A","2","3","2016-10-20 08:40:00,2016-10-20 09:00:00","1007.8000","1012.8000","94.0000","2.7000","22.3000","91.0000","0.0000","125.39"
"A","2","3","2016-10-20 09:00:00,2016-10-20 09:20:00","1008.1000","1013.1000","96.0000","2.0000","22.4000","91.0000","0.0000","777.55"
"A","2","3","2016-10-20 09:20:00,2016-10-20 09:40:00","1008.1000","1013.1000","96.0000","2.0000","22.4000","91.0000","0.0000","205.22"
"A","2","3","2016-10-20 09:40:00,2016-10-20 10:00:00","1008.1000","1013.1000","96.0000","2.0000","22.4000","91.0000","0.0000","164.18"
"A","2","4","2016-10-21 08:00:00,2016-10-21 08:20:00","1004.1000","1009.1000","335.0000","3.1000","21.4000","98.0000","0.5000","466.2"
"A","2","4","2016-10-21 08:20:00,2016-10-21 08:40:00","1004.1000","1009.1000","335.0000","3.1000","21.4000","98.0000","0.5000","765.33"
"A","2","4","2016-10-21 08:40:00,2016-10-21 09:00:00","1004.1000","1009.1000","335.0000","3.1000","21.4000","98.0000","0.5000","700.79"
"A","2","4","2016-10-21 09:00:00,2016-10-21 09:20:00","1004.3000","1009.3000","340.0000","2.8000","21.2000","98.0000","0.0000","416.49"
"A","2","4","2016-10-21 09:20:00,2016-10-21 09:40:00","1004.3000","1009.3000","340.0000","2.8000","21.2000","98.0000","0.0000","248.9"
"A","2","4","2016-10-21 09:40:00,2016-10-21 10:00:00","1004.3000","1009.3000","340.0000","2.8000","21.2000","98.0000","0.0000","673.67"
"A","2","5","2016-10-22 08:00:00,2016-10-22 08:20:00","1000.2000","1005.1000","86.0000","2.9000","22.6000","96.0000","0.1000","574.81"
"A","2","5","2016-10-22 08:20:00,2016-10-22 08:40:00","1000.2000","1005.1000","86.0000","2.9000","22.6000","96.0000","0.1000","621.6"
"A","2","5","2016-10-22 08:40:00,2016-10-22 09:00:00","1000.2000","1005.1000","86.0000","2.9000","22.6000","96.0000","0.1000","638.73"
"A","2","5","2016-10-22 09:00:00,2016-10-22 09:20:00","999.4000","1004.3000","117.0000","2.0000","22.8000","97.0000","3.1000","640.95"
